Year,Comparison time period,Gender,Percentage of  Current Smokers,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Number of Respondents
1984,Definition of smoker expanded in 1996,Total,0.249,0.223,0.275,1082
1984,Definition of smoker expanded in 1996,Female,0.23,0.197,0.263,633
1984,Definition of smoker expanded in 1996,Male,0.269,0.228,0.31,449
1985,Definition of smoker expanded in 1996,Female,0.252,0.221,0.282,773
1985,Definition of smoker expanded in 1996,Total,0.267,0.243,0.29,1366
1985,Definition of smoker expanded in 1996,Male,0.282,0.246,0.318,593
1986,Definition of smoker expanded in 1996,Female,0.233,0.205,0.26,910
1986,Definition of smoker expanded in 1996,Male,0.28,0.246,0.314,657
1986,Definition of smoker expanded in 1996,Total,0.256,0.234,0.278,1567
1987,Definition of smoker expanded in 1996,Female,0.201,0.177,0.226,1020
1987,Definition of smoker expanded in 1996,Male,0.228,0.198,0.258,755
1987,Definition of smoker expanded in 1996,Total,0.214,0.195,0.234,1775
1988,Definition of smoker expanded in 1996,Total,0.227,0.21,0.243,2454
1988,Definition of smoker expanded in 1996,Female,0.199,0.178,0.22,1381
1988,Definition of smoker expanded in 1996,Male,0.256,0.229,0.282,1073
1989,Definition of smoker expanded in 1996,Male,0.225,0.2,0.25,1088
1989,Definition of smoker expanded in 1996,Total,0.211,0.195,0.228,2388
1989,Definition of smoker expanded in 1996,Female,0.198,0.177,0.22,1300
1990,Definition of smoker expanded in 1996,Female,0.179,0.159,0.198,1443
1990,Definition of smoker expanded in 1996,Total,0.194,0.179,0.209,2691
1990,Definition of smoker expanded in 1996,Male,0.211,0.188,0.233,1248
1991,Definition of smoker expanded in 1996,Total,0.192,0.178,0.206,2992
1991,Definition of smoker expanded in 1996,Female,0.158,0.14,0.176,1616
1991,Definition of smoker expanded in 1996,Male,0.227,0.205,0.25,1376
1992,Definition of smoker expanded in 1996,Total,0.2,0.188,0.213,3969
1992,Definition of smoker expanded in 1996,Male,0.223,0.204,0.242,1799
1992,Definition of smoker expanded in 1996,Female,0.178,0.162,0.194,2170
1993,Definition of smoker expanded in 1996,Male,0.207,0.193,0.221,3277
