Year,Percent Current Smokers ,Lower 95% Confidence Interval,Upper 95% Confidence Interval ,Number of Respondents,Gender
2001,16.2,14.8,17.8,5627,Male
2003,14.4,13.1,15.7,6848,Male
2005,17.1,16,18.2,12274,Male
2007,12.3,11.4,13.2,11172,Male
2009,16.3,14.3,18.3,11664,Male
2011,13,11.6,14.5,10224,Male
2001,15.7,14,17.7,6302,Female
2003,11.9,10.4,13.4,7713,Female
2005,13.7,12.5,14.9,12505,Female
2007,16.8,15.2,18.4,11224,Female
2009,11.1,10,12.2,11397,Female
2011,8,7.2,9,10250,Female
2001,16,14.7,17.4,11929,Total
2003,13.2,12.4,14,14561,Total
2005,15.4,14.4,16.4,24779,Total
2007,14.6,13.5,15.7,22396,Total
2009,13.8,12.6,15,23061,Total
2011,10.5,9.7,11.5,20474,Total
